date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2008-12-01,205434,013,260,617,957,05
2008-12-16,074114,305,715,803,959,25
2008-12-30,218596,094,197,831,984,22
2009-01-16,121541,919,163,437,088,18
2009-02-01,728904,868,794,473,759,91
2009-02-16,240502,450,540,694,741,96
2009-03-01,291439,290,258,441,550,05
2009-03-16,990111,321,632,705,499,96
2009-04-01,887893,393,863,393,360,45
2009-04-16,659021,800,563,280,338,15
2009-05-02,141979,100,224,400,856,57
2009-05-16,401660,358,852,845,506,95
2009-06-01,310543,145,163,425,609,91
2009-06-16,732043,395,525,160,502,28
2009-07-01,551822,623,884,409,034,86
2009-07-16,997637,252,754,785,106,37
2009-08-01,487295,118,382,647,621,03
2009-08-16,197811,275,455,578,134,48
2009-09-01,510526,478,188,761,586,55
2009-09-16,347498,139,161,179,805,66
2009-10-01,060197,851,134,229,093,68
2009-10-16,721590,927,309,740,185,45
2009-11-01,401614,674,895,957,566,55
2009-11-16,025227,818,322,993,204,67
2009-12-01,498363,077,313,563,988,29
2009-12-16,537380,027,266,456,973,14
2009-12-30,884112,936,153,186,933,49
2010-01-16,073577,413,459,781,646,67
2010-02-01,186312,936,577,694,403,14
2010-02-16,133707,137,026,362,985,03
2010-03-01,215227,457,627,374,470,97
2010-03-16,364222,619,996,229,756,97
2010-04-01,959517,174,663,447,040,22
2010-04-16,211743,811,744,154,285,96
2010-05-02,360371,382,040,517,618,06
2010-05-16,480012,293,151,770,008,12
2010-06-01,444874,374,298,996,673,81
2010-06-16,500104,200,628,681,816,73
2010-07-01,480239,893,450,918,961,68
2010-07-16,180387,309,219,572,024,34
2010-08-01,210008,769,182,727,191,10
2010-08-16,911097,986,578,448,689,64
2010-09-01,354656,784,570,656,096,11
2010-09-16,017422,103,316,431,075,66
2010-10-01,488372,091,996,003,246,02
2010-10-16,621377,310,518,385,872,42
2010-11-01,191100,653,968,801,739,59
2010-11-16,813993,763,979,907,129,43
2010-12-01,181752,664,470,474,086,09
2010-12-16,334380,529,315,533,306,24
2010-12-30,884112,936,153,186,933,49
2011-01-16,281062,227,185,758,546,23
2011-02-01,610089,596,361,121,432,55
2011-02-16,481746,535,510,384,388,27
2011-03-01,656037,544,357,926,396,97
2011-03-16,593331,209,945,463,737,96
2011-04-01,814931,723,584,040,036,01
2011-04-16,825988,263,213,397,593,44
2011-05-02,054136,421,945,133,524,85
2011-05-16,406417,700,044,071,889,05
2011-06-01,562370,656,346,801,556,46
2011-06-16,351276,486,167,162,582,88
2011-07-01,622953,390,160,780,463,51
2011-07-16,116556,227,052,534,609,12
